timestamp,open,high,low,close,volume,MACD,Signal Line
2023-06-27,407.99,419.4,404.48,418.76,46217470,-10.08061138396124,-7.255006847881807
2023-06-26,424.61,427.64,401.0,406.32,59432192,-10.853847353768288,-7.974774949059103
2023-06-23,424.64,428.09,420.15,422.09,35813984,-10.077962744884701,-8.395412508224222
2023-06-22,422.53,434.255,422.34,430.25,41773743,-8.704287193823461,-8.45718744534407
2023-06-21,435.01,436.15,420.8,430.45,55160291,-7.512897093204856,-8.268329374916227
2023-06-20,429.98,439.9,426.74,438.08,45115311,-5.885193771145168,-7.791702254162016
2023-06-16,434.5,437.21,426.605,426.92,65570941,-5.433116310601008,-7.319985065449814
2023-06-15,426.02,432.89,421.47,426.53,56862204,-5.04811982372911,-6.865612017105674
2023-06-14,408.24,430.0,405.52,429.97,74046502,-4.414540014086185,-6.375397616501777
2023-06-13,401.86,411.01,397.4,410.22,61320816,-5.4433360035215514,-6.188985293905732
2023-06-12,392.0,395.2999,386.18,394.82,38967335,-7.4158304567427535,-6.434354326473137
2023-06-09,390.37,397.11,385.67,387.7,42771747,-9.444698413463243,-7.036423143871159
2023-06-08,377.24,388.64,375.05,385.1,41777240,-11.134042842079396,-7.855947083512806
2023-06-07,389.15,394.99,373.56,374.75,51199789,-13.156360638378885,-8.916029794486022
2023-06-06,388.3,391.6,381.48,386.54,38872914,-13.650354801993785,-9.862894795987575
2023-06-05,389.09,395.6503,387.07,391.71,39609381,-13.469406015059633,-10.584197039801987
2023-06-02,400.97,405.0,390.5801,393.27,48273121,-13.049695073557928,-11.077296646553176
2023-06-01,384.89,400.5,383.4,397.7,63587295,-12.218756927668494,-11.305588702776241
2023-05-31,394.88,402.95,378.22,378.34,99882681,-12.972879383992506,-11.639046839019494
2023-05-30,405.95,419.38,399.49,401.11,92340110,-11.599466728588311,-11.63113081693326
2023-05-26,378.9,391.7,375.5,389.46,71439676,-11.320588246678028,-11.569022302882214
2023-05-25,385.23,394.8,366.35,379.8,154391067,-11.74368244749843,-11.603954331805458
2023-05-24,302.1,306.07,298.06,305.38,72141851,-17.877973545605585,-12.858758174565484
2023-05-23,310.0,312.88,306.31,306.88,35625326,-22.36064635984212,-14.759135811620812
2023-05-22,309.01,315.2,306.8,311.76,37199967,-25.22860202501505,-16.85302905429966
2023-05-19,315.36,315.8,309.16,312.64,47390765,-27.11787097037825,-18.90599743751538
2023-05-18,304.1,318.28,303.2,316.78,74872501,-27.95877546067277,-20.71655304214686
2023-05-17,295.84,301.99,294.3001,301.78,43253541,-29.495566437847344,-22.47235572128696
2023-05-16,288.41,298.7,288.32,292.13,44940494,-31.133273711270817,-24.204539319283732
2023-05-15,285.085,289.69,281.52,289.53,29392587,-32.26898996581889,-25.817429448590765
2023-05-12,285.29,287.8,280.46,283.4,27422225,-33.28006121977171,-27.309955802826956
2023-05-11,288.96,289.5,282.46,285.78,32214903,-33.503093555834255,-28.548583353428416
2023-05-10,290.05,291.13,284.6128,288.85,36934998,-33.051132069207085,-29.44909309658415
2023-05-09,288.99,289.73,284.5,285.71,31486946,-32.570864442143545,-30.073447365696033
2023-05-08,285.22,292.2,283.5,291.51,34497890,-31.360730381713154,-30.330903968899456
2023-05-05,278.255,287.55,277.31,286.8,36149408,-30.43095890551598,-30.350914956222763
2023-05-04,276.51,278.59,272.4,275.62,32185041,-30.247565767122012,-30.330245118402615
2023-05-03,278.4,283.67,274.72,278.02,38338740,-29.567727088698007,-30.177741512461697
2023-05-02,286.8,288.3599,280.83,282.1,40272957,-28.372665707155534,-29.81672635140047
2023-05-01,278.4,290.5844,277.8,289.1,57032853,-26.554624274811374,-29.16430593608265
2023-04-28,272.25,277.58,270.7148,277.49,29221614,-25.753769884515407,-28.4821987257692
2023-04-27,273.63,274.95,266.2501,272.26,37716119,-25.250037585742007,-27.835766497763764
2023-04-26,270.02,273.3,267.051,269.56,40449391,-24.783010427606314,-27.225215283732275
